name,country,min_price_country,product_url,collection,reference,price_USD,min_price,price_diff
Radiomir Quaranta,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01570-radiomir-quaranta.html,Radiomir,PAM01570,6000.0,6000.0,0.0
Radiomir Quaranta,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01571-radiomir-quaranta.html,Radiomir,PAM01571,6000.0,6000.0,0.0
Radiomir Quaranta,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01572-radiomir-quaranta.html,Radiomir,PAM01572,6000.0,6000.0,0.0
Radiomir Quaranta,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01573-radiomir-quaranta.html,Radiomir,PAM01573,6000.0,6000.0,0.0
Radiomir Officine,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01385-radiomir-officine.html,Radiomir,PAM01385,5400.0,5400.0,0.0
Radiomir Officine,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01384-radiomir-officine.html,Radiomir,PAM01384,5400.0,5400.0,0.0
Radiomir Officine,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01383-radiomir-officine.html,Radiomir,PAM01383,4900.0,4900.0,0.0
Radiomir Officine,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01382-radiomir-officine.html,Radiomir,PAM01382,4900.0,4900.0,0.0
Radiomir Tre Giorni,USA,Japan,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01334-radiomir-tre-giorni.html,Radiomir,PAM01334,7100.0,7085.947,14.052999999999884
Radiomir Tre Giorni,USA,Japan,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01335-radiomir-tre-giorni.html,Radiomir,PAM01335,7100.0,7085.947,14.052999999999884
Radiomir Tre Giorni,USA,Japan,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01350-radiomir-tre-giorni.html,Radiomir,PAM01350,7100.0,7085.947,14.052999999999884
Radiomir Otto Giorni,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01347-radiomir-otto-giorni.html,Radiomir,PAM01347,9700.0,9700.0,0.0
Radiomir Otto Giorni,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01348-radiomir-otto-giorni.html,Radiomir,PAM01348,9700.0,9700.0,0.0
Radiomir California,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01349-radiomir-california.html,Radiomir,PAM01349,12300.0,12300.0,0.0
Radiomir 8 Giorni Eilean,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01643-radiomir-8-giorni-eilean.html,Radiomir,PAM01643,42300.0,42300.0,0.0
Radiomir Tourbillon GMT Bronzo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01284-radiomir-tourbillon-gmt-bronzo.html,Radiomir,PAM01284,146700.0,146700.0,0.0
Radiomir Bronzo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00760-radiomir-bronzo.html,Radiomir,PAM00760,18600.0,18600.0,0.0
Radiomir Quaranta Goldtech™,USA,Japan,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01026-radiomir-quaranta-goldtech.html,Radiomir,PAM01026,18200.0,18189.699,10.300999999999476
Radiomir Quaranta Yellow Gold,USA,Japan,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01437-radiomir-quaranta-yellow-gold.html,Radiomir,PAM01437,18200.0,18189.699,10.300999999999476
Radiomir Annual Calendar Goldtech™,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01363-radiomir-annual-calendar-goldtech.html,Radiomir,PAM01363,34500.0,34500.0,0.0
Radiomir Annual Calendar Platinumtech™,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01364-radiomir-annual-calendar-platinumtech.html,Radiomir,PAM01364,50900.0,50900.0,0.0
Radiomir Perpetual Calendar GMT Goldtech™,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01453-radiomir-perpetual-calendar-gmt-goldtech.html,Radiomir,PAM01453,43200.0,43200.0,0.0
Radiomir Minute Repeater Tourbillon GMT,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00600-radiomir-minute-repeater-tourbillon-gmt.html,Radiomir,PAM00600,396800.0,396800.0,0.0
Luminor Base Logo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01623-luminor-base-logo.html,Luminor,PAM01623,5600.0,5600.0,0.0
Luminor Base Logo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01087-luminor-base-logo.html,Luminor,PAM01087,5600.0,5600.0,0.0
Luminor Base Logo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01086-luminor-base-logo.html,Luminor,PAM01086,5600.0,5600.0,0.0
Luminor Logo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01084-luminor-logo.html,Luminor,PAM01084,6100.0,6100.0,0.0
Luminor Logo ,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01085-luminor-logo.html,Luminor,PAM01085,6100.0,6100.0,0.0
Luminor Logo,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01624-luminor-logo.html,Luminor,PAM01624,6100.0,6100.0,0.0
Luminor Tre Giorni,USA,USA,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01628-luminor-tre-giorni.html,Luminor,PAM01628,10500.0,10500.0,0.0
Luminor 8 Giorni,USA,Japan,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00914-luminor-8-giorni.html,Luminor,PAM00914,7100.0,7085.947,14.052999999999884
